Date, Open, High, Low, Close
02/22/18, 479.21, 475.46, 475.46, 475.46
02/21/18, 479.48, 479.20, 479.20, 479.20
02/20/18, 480.49, 479.50, 479.50, 479.50
02/16/18, 481.11, 480.61, 480.61, 480.61
02/15/18, 478.19, 481.14, 481.14, 481.14
02/14/18, 467.31, 478.18, 478.18, 478.18
02/13/18, 465.22, 467.34, 467.34, 467.34
02/12/18, 458.98, 465.27, 465.27, 465.27
02/09/18, 450.31, 458.95, 458.95, 458.95
02/08/18, 471.52, 450.30, 450.30, 450.30
02/07/18, 470.76, 471.56, 471.56, 471.56
02/06/18, 462.78, 470.77, 470.77, 470.77
02/05/18, 487.13, 462.92, 462.92, 462.92
02/02/18, 498.17, 487.21, 487.21, 487.21
02/01/18, 493.08, 498.36, 498.36, 498.36
01/31/18, 492.85, 493.45, 493.45, 493.45
01/30/18, 498.92, 492.91, 492.91, 492.91
01/29/18, 501.25, 498.99, 498.99, 498.99
01/26/18, 497.17, 501.29, 501.29, 501.29
01/25/18, 498.19, 497.25, 497.25, 497.25
01/24/18, 494.74, 498.19, 498.19, 498.19
01/23/18, 494.60, 494.83, 494.83, 494.83
01/22/18, 490.59, 494.62, 494.62, 494.62
01/19/18, 487.25, 490.56, 490.56, 490.56
01/18/18, 487.94, 487.24, 487.24, 487.24
01/17/18, 483.97, 487.94, 487.94, 487.94
01/16/18, 485.50, 483.90, 483.90, 483.90
01/12/18, 480.98, 485.49, 485.49, 485.49
01/11/18, 478.72, 480.97, 480.97, 480.97
01/10/18, 474.69, 478.72, 478.72, 478.72
01/09/18, 471.32, 474.69, 474.69, 474.69
01/08/18, 471.92, 471.33, 471.33, 471.33
01/05/18, 470.54, 471.92, 471.92, 471.92
01/04/18, 465.84, 470.51, 470.51, 470.51
01/03/18, 463.66, 466.14, 466.14, 466.14
01/02/18, 463.97, 463.66, 463.66, 463.66
12/29/17, 467.18, 463.94, 463.94, 463.94
12/28/17, 465.17, 467.19, 467.19, 467.19
12/27/17, 464.84, 465.30, 465.30, 465.30
12/26/17, 466.54, 465.00, 465.00, 465.00
12/22/17, 467.57, 466.56, 466.56, 466.56
12/21/17, 463.67, 467.57, 467.57, 467.57
12/20/17, 464.78, 463.64, 463.64, 463.64
12/19/17, 466.66, 464.78, 464.78, 464.78
12/18/17, 462.89, 466.66, 466.66, 466.66
12/15/17, 458.06, 462.84, 462.84, 462.84
12/14/17, 461.16, 458.07, 458.07, 458.07
12/13/17, 467.07, 461.17, 461.17, 461.17
12/12/17, 462.36, 467.09, 467.09, 467.09
12/11/17, 463.46, 462.36, 462.36, 462.36
12/08/17, 460.73, 463.46, 463.46, 463.46
12/07/17, 459.34, 460.76, 460.76, 460.76
12/06/17, 460.97, 459.45, 459.45, 459.45
12/05/17, 463.71, 461.01, 461.01, 461.01
12/04/17, 456.69, 463.71, 463.71, 463.71
12/01/17, 455.54, 456.61, 456.61, 456.61
11/30/17, 452.91, 455.61, 455.61, 455.61
11/29/17, 445.16, 453.10, 453.10, 453.10
11/28/17, 434.03, 445.21, 445.21, 445.21
11/27/17, 434.16, 434.02, 434.02, 434.02
11/24/17, 434.82, 434.19, 434.19, 434.19
11/22/17, 436.59, 434.86, 434.86, 434.86
11/21/17, 435.48, 436.59, 436.59, 436.59
11/20/17, 433.36, 435.49, 435.49, 435.49
11/17/17, 433.92, 433.36, 433.36, 433.36
11/16/17, 433.63, 433.94, 433.94, 433.94
11/15/17, 432.76, 433.61, 433.61, 433.61
11/14/17, 432.99, 432.79, 432.79, 432.79
11/13/17, 432.24, 433.05, 433.05, 433.05
11/10/17, 433.45, 432.27, 432.27, 432.27
11/09/17, 434.88, 433.45, 433.45, 433.45
11/08/17, 437.59, 434.95, 434.95, 434.95
11/07/17, 443.44, 437.58, 437.58, 437.58
11/06/17, 444.04, 443.46, 443.46, 443.46
11/03/17, 445.74, 444.05, 444.05, 444.05
11/02/17, 441.94, 445.99, 445.99, 445.99
11/01/17, 441.17, 442.19, 442.19, 442.19
10/31/17, 442.38, 441.16, 441.16, 441.16
10/30/17, 444.44, 442.41, 442.41, 442.41
10/27/17, 444.96, 444.53, 444.53, 444.53
10/26/17, 442.54, 444.97, 444.97, 444.97
10/25/17, 444.72, 442.52, 442.52, 442.52
10/24/17, 441.43, 444.71, 444.71, 444.71
10/23/17, 442.05, 441.43, 441.43, 441.43
10/20/17, 437.00, 442.05, 442.05, 442.05
10/19/17, 436.30, 436.96, 436.96, 436.96
10/18/17, 433.89, 436.32, 436.32, 436.32
10/17/17, 436.30, 433.88, 433.88, 433.88
10/16/17, 433.46, 436.29, 436.29, 436.29
10/13/17, 433.67, 433.50, 433.50, 433.50
10/12/17, 436.81, 433.67, 433.67, 433.67
10/11/17, 437.42, 436.81, 436.81, 436.81
10/10/17, 435.63, 437.42, 437.42, 437.42
10/09/17, 437.25, 435.62, 435.62, 435.62
10/06/17, 437.05, 437.25, 437.25, 437.25
10/05/17, 432.53, 437.06, 437.06, 437.06
10/04/17, 434.19, 432.79, 432.79, 432.79
10/03/17, 432.89, 434.19, 434.19, 434.19
